date, pm25, pm10, o3, no2, so2, co
2024/9/18, 32, 16, 12, 5, 1, 3
2024/9/19, 32, 10, 24, 8, 1, 4
2024/9/20, 32, 20, 30, 6, 2, 4
2024/9/21, 34, 27, 40, 7, 2, 4
2024/9/22, 36, 26, 47, 10, 2, 5
2024/9/23, 40, 30, 30, 11, 2, 5
2024/9/24, 57, 36, 20, 15, 2, 8
2024/9/25, 100, 17, 30, 18, 2, 4
2024/9/26, 55, 24, 52, 11, 2, 4
2024/9/27, 47, 33, 61, 11, 2, 5
2024/9/28, 66, 32, 39, 8, 2, 4
2024/9/29, 54, 31, 32, 8, 2, 4
2024/9/30, 61, 19, 31, 7, 2, 4
2024/4/1, 117, 28, 35, 16, 2, 6
2024/4/2, 68, 23, 30, 11, 2, 6
2024/4/3, 67, 44, 46, 14, 4, 7
2024/4/4, 92, 51, 56, 12, 3, 6
2024/4/5, 86, 37, 37, 12, 2, 5
2024/4/6, 84, 40, 37, 18, 3, 5
2024/4/7, 92, 25, 34, 17, 2, 6
2024/4/8, 71, 51, 63, 25, 3, 8
2024/4/9, 128, 55, 56, 16, 3, 4
2024/4/10, 110, 45, 48, 14, 3, 4
2024/4/11, 78, 37, 20, 20, 2, 4
2024/4/12, 77, 22, 30, 13, 2, 4
2024/4/13, 68, 18, 39, 12, 2, 4
2024/4/14, 56, 52, 73, 13, 2, 6
2024/4/15, 130, 47, 57, 18, 3, 6
2024/4/16, 124, 18, 33, 15, 2, 5
2024/4/17, 51, 63, 39, 19, 3, 5
2024/4/18, 98, 111, 40, 16, 3, 4
2024/4/19, 105, 50, 60, 11, 2, 6
2024/4/20, 84, 35, 47, 11, 3, 5
2024/4/21, 83, 31, 36, 13, 2, 6
2024/4/22, 80, 31, 55, 13, 2, 6
2024/4/23, 87, 38, 59, 14, 3, 5
2024/4/24, 85, 33, 41, 17, 3, 5
2024/4/25, 49, 40, 45, 11, 2, 4
2024/4/26, 61, 32, 36, 11, 3, 4
2024/4/27, 72, 25, 31, 11, 2, 4
2024/4/28, 62, 37, 42, 13, 2, 6
2024/4/29, 96, 33, 40, 15, 2, 5
2024/4/30, 81, 33, 52, 11, 3, 5
2024/5/1, 85, 37, 47, 13, 3, 5
2024/5/2, 69, 33, 58, 10, 3, 4
2024/5/3, 61, 31, 40, 10, 3, 5
2024/5/4, 76, 25, 37, 9, 3, 8
2024/5/5, 69, 37, 72, 10, 3, 8
2024/5/6, 95, 58, 89, 16, 3, 8
2024/5/7, 130, 40, 59, 15, 3, 7
2024/5/8, 100, 21, 49, 12, 3, 4
2024/5/9, 45, 28, 64, 10, 3, 4
2024/5/10, 51, 49, 37, 12, 3, 5
2024/5/11, 98, 57, 44, 12, 3, 5
2024/5/12, 91, 62, 67, 19, 3, 5
2024/5/13, 80, 38, 96, 15, 3, 4
2024/5/14, 61, 52, 63, 13, 3, 4
2024/5/15, 72, 37, 71, 16, 3, 4
2024/5/16, 54, 33, 88, 11, 3, 4
2024/5/17, 59, 32, 62, 8, 3, 4
2024/5/18, 51, 29, 42, 7, 3, 4
2024/5/19, 56, 26, 43, 7, 3, 4
2024/5/20, 55, 25, 39, 9, 3, 4
2024/5/21, 58, 37, 52, 11, 3, 4
2024/5/22, 74, 23, 50, 7, 3, 3
2024/5/23, 58, 25, 55, 8, 3, 3
2024/5/24, 61, 19, 39, 6, , 3
2024/5/25, 50, 28, 61, 7, 3, 4
2024/5/26, 74, 24, 42, 7, 3, 5
2024/5/27, 56, 19, 57, 10, 3, 4
2024/5/28, 50, 30, 54, 13, 3, 4
2024/5/29, 66, 37, 75, 8, 3, 4
2024/5/30, 72, 48, 45, 11, 3, 8
2024/5/31, 132, 34, 63, 12, 3, 5
2024/6/1, 94, 18, 55, 10, 3, 4
2024/6/2, 57, 35, 108, 13, 3, 5
2024/6/3, 78, 51, 94, 8, 4, 6
2024/6/4, 89, 35, 52, 8, 3, 5
2024/6/5, 81, 16, 50, 10, , 4
2024/6/6, 55, 19, 48, 11, 3, 4
2024/6/7, 52, 30, 84, 7, 3, 4
2024/6/8, 75, 27, 87, 9, 3, 5
2024/6/9, 78, 24, 52, 7, 3, 5
2024/6/10, 63, 15, 45, 6, 3, 4
2024/6/11, 41, 37, 79, 9, 3, 6
2024/6/12, 96, 47, 81, 9, 3, 6
2024/6/13, 130, 33, 72, 8, 3, 5
2024/6/14, 97, 28, 79, 8, 3, 4
2024/6/15, 77, 27, 66, 11, 3, 4
2024/6/16, 73, 16, 54, 7, 3, 4
2024/6/17, 51, 17, 63, 8, 3, 4
2024/6/18, 45, 18, 32, 10, 3, 5
2024/6/19, 47, 14, 32, 9, , 6
2024/6/20, 52, 36, 13, 21, , 7
2024/6/21, 88, 29, 36, 14, 2, 6
2024/6/22, 84, 20, 40, 9, 2, 5
2024/6/23, 58, 27, 23, 14, 3, 6
2024/6/24, 83, 24, 38, 11, 2, 5
2024/6/25, 69, 21, 29, 11, 2, 5
2024/6/26, 64, 12, 26, 10, 2, 6
2024/6/27, 46, 15, 24, 9, 2, 6
2024/6/28, 47, 26, 37, 8, 2, 4
2024/6/29, 74, 19, 21, 8, 2, 4
2024/6/30, 50, 31, 45, 9, 2, 5
2024/1/1, 158, 63, 28, 25, 2, 6
2024/1/2, 115, 76, 27, 18, 2, 9
2024/1/3, 157, 92, 42, 27, 3, 11
2024/1/4, 169, 76, 23, 32, 3, 9
2024/1/5, 158, 115, 35, 38, 3, 13
2024/1/6, 188, 70, 25, 19, 3, 8
2024/1/7, 144, 26, 18, 22, 2, 5
2024/1/8, 58, 69, 29, 26, 3, 8
2024/1/9, 140, 92, 25, 18, 3, 10
2024/1/10, 173, 96, 28, 28, 3, 11
2024/1/11, 176, 93, 27, 38, 3, 11
2024/1/12, 171, 125, 34, 47, 4, 13
2024/1/13, 191, 77, 46, 20, 3, 9
2024/1/14, 157, 32, 26, 12, 2, 7
2024/1/15, 75, 30, 27, 17, 2, 7
2024/1/16, 45, 38, 35, 20, 2, 7
2024/1/17, 57, 62, 5, 22, 2, 10
2024/1/18, 134, 37, 18, 12, 2, 12
2024/1/19, 43, 34, 10, 16, 2, 10
2024/1/20, 94, 49, 27, 11, 2, 7
2024/1/21, 128, 41, 23, 8, 2, 6
2024/1/22, 94, 35, 23, 10, 3, 6
