date, pm25, pm10, o3, no2, so2, co
2023/5/20, 76, 38, 63, 10, 4, 5
2023/5/21, 95, 63, 33, 9, 4, 5
2023/5/22, 96, 96, 68, 14, 5, 6
2023/5/23, 122, 55, 49, 19, 4, 6
2023/5/24, 83, 47, 78, 11, 4, 6
2023/5/25, 92, 52, 73, 12, 4, 6
2023/5/26, 84, 36, 41, 8, 4, 5
2023/5/27, 68, 33, 70, 7, 4, 4
2023/5/28, 79, 37, 115, 10, 4, 5
2023/5/29, 68, 47, 58, 14, 5, 7
2023/5/30, 103, 43, 28, 14, 4, 5
2023/5/31, 85, 35, 52, 14, 5, 6
2023/6/1, 76, 50, 119, 12, 5, 7
2023/6/2, 101, 48, 66, 10, 5, 4
2023/6/3, 102, 34, 51, 10, 4, 3
2023/6/4, 69, 43, 39, 12, 4, 5
2023/6/5, 83, 35, 53, 11, , 6
2023/6/6, 96, 43, 43, 16, 4, 6
2023/6/7, 108, 37, 83, 13, 4, 6
2023/6/8, 98, 39, 107, 12, 4, 6
2023/6/9, 102, 35, 109, 9, 4, 5
2023/6/10, 75, 41, 71, 11, 4, 5
2023/6/11, 87, 20, 43, 9, 4, 4
2023/6/12, 50, 23, 27, 10, 4, 4
2023/6/13, 46, 32, 93, 9, 4, 4
2023/6/14, 78, 49, 116, 13, 4, 6
2023/6/15, 119, 48, 91, 13, 4, 6
2023/6/16, 124, 16, 47, 8, 4, 4
2023/6/17, 48, 18, 27, 13, , 5
2023/6/18, 58, 19, 31, 13, 3, 5
2023/6/19, 61, 24, 68, 7, 3, 6
2023/6/20, 64, 49, 125, 13, 4, 8
2023/6/21, 128, 53, 93, 11, 4, 7
2023/6/22, 131, 42, 53, 8, 4, 6
2023/6/23, 105, 10, 44, 7, 2, 4
2023/6/24, 35, 15, 46, 8, 1, 4
2023/6/25, 53, 29, 40, 10, 2, 4
2023/6/26, 66, 25, 41, 11, 2, 4
2023/6/27, 62, 32, 82, 7, 1, 4
2023/6/28, 70, 38, 63, 9, 1, 4
2023/6/29, 72, 30, 33, 10, , 4
2023/6/30, 56, 22, 90, 5, 1, 5
2023/1/2, 146, 27, 24, 18, 3, 4
2023/1/3, 50, 38, 31, 28, 4, 5
2023/1/4, 93, 36, 25, 24, 3, 5
2023/1/5, 93, 63, 46, 27, 4, 7
2023/1/6, 152, 79, 47, 30, 4, 8
2023/1/7, 168, 67, 44, 22, 4, 5
2023/1/8, 114, 70, 48, 21, 4, 6
2023/1/9, 140, 32, 27, 13, 3, 3
2023/1/10, 31, 34, 34, 22, 3, 4
2023/1/11, 51, 17, 33, 16, , 3
2023/1/12, 46, 12, 3, 22, 3, 6
2023/1/13, 36, 10, 23, 10, , 5
2023/1/14, 27, 27, 22, 6, 3, 6
2023/1/15, 65, 42, 25, 10, 4, 8
2023/1/16, 88, 45, 32, 12, 4, 9
2023/1/17, 116, 60, 34, 16, 4, 9
2023/1/18, 140, 72, 38, 22, 4, 9
2023/1/19, 137, 90, 34, 12, 4, 7
2023/1/20, 131, 65, 36, 5, 3, 3
2023/1/21, 59, 18, 23, 7, 3, 4
2023/1/22, 50, 20, 30, 5, 3, 5
2023/1/23, 41, 40, 28, 2, 3, 5
2023/1/24, 72, 26, 32, 3, 3, 5
2023/1/25, 37, 71, 32, 9, 4, 6
2023/1/26, 139, 53, 30, 5, 4, 8
2023/1/27, 87, 57, 33, 11, 4, 7
2023/1/28, 90, 54, 38, 14, 4, 6
2023/1/29, 96, 53, 43, 19, 4, 7
2023/1/30, 113, 41, 39, 16, 4, 5
2023/1/31, 98, 53, 45, 24, 4, 8
2023/2/1, 109, 42, 26, 9, 3, 7
2023/2/2, 43, 49, 20, 12, 3, 7
2023/2/3, 50, 27, 28, 15, 4, 6
2023/2/4, 56, 37, 35, 12, 4, 5
2023/2/5, 101, 22, 27, 16, 3, 5
2023/2/6, 69, 23, 32, 13, 3, 5
2023/2/7, 65, 38, 35, 13, 3, 5
2023/2/8, 95, 22, 29, 17, 3, 5
2023/2/9, 63, 24, 26, 13, 3, 6
2023/2/10, 74, 18, 26, 15, 3, 4
2023/2/11, 52, 16, 21, 14, 3, 5
2023/2/12, 50, 31, 36, 8, 3, 5
2023/2/13, 77, 32, 26, 8, 3, 4
2023/2/14, 65, 36, 30, 12, 4, 6
2023/2/15, 77, 33, 30, 16, 3, 6
2023/2/16, 76, 34, 29, 20, 4, 5
2023/2/17, 85, 49, 38, 29, 5, 8
2023/2/18, 118, 72, 34, 16, 4, 8
2023/2/19, 165, 48, 36, 15, 4, 8
2023/2/20, 122, 30, 30, 8, 3, 5
2023/2/21, 57, 29, 26, 12, 3, 5
2023/2/22, 51, 26, 16, 19, 3, 7
2023/2/23, 65, 39, 33, 16, 3, 8
2023/2/24, 108, 48, 33, 10, 3, 7
2023/2/25, 108, 28, 33, 12, 3, 4
2023/2/26, 69, 30, 40, 18, 3, 4
2023/2/27, 86, 32, 42, 18, 4, 4
2023/2/28, 81, 61, 49, 25, 7, 8
2023/3/1, 151, 55, 38, 18, 4, 7
2023/3/2, 121, 30, 33, 21, 3, 4
2023/3/3, 60, 44, 44, 25, 3, 5
2023/3/4, 98, 39, 47, 18, 4, 5
2023/3/5, 93, 51, 73, 22, 4, 5
2023/3/6, 121, 56, 72, 22, 4, 6
2023/3/7, 111, 55, 39, 25, 4, 6
2023/3/8, 121, 63, 65, 25, 4, 8
2023/3/9, 151, 70, 73, 24, 4, 7
2023/3/10, 143, 48, 57, 15, 4, 6
2023/3/11, 93, 55, 32, 9, 3, 7
2023/3/12, 82, 46, 34, 10, 4, 7
2023/3/13, 63, 46, 50, 12, 4, 6
2023/3/14, 58, 50, 51, 14, 5, 7
2023/3/15, 92, 64, 38, 7, 3, 6
2023/3/16, 60, 21, 31, 9, 3, 7
2023/3/17, 40, 37, 24, 13, 3, 7
2023/3/18, 87, 36, 41, 14, 4, 3
2023/3/19, 73, 30, 40, 12, 3, 4
2023/3/20, 81, 25, 14, 23, 3, 5
2023/3/21, 75, 45, 9, 28, 4, 6
2023/3/22, 124, 90, 31, 13, 3, 6
2023/3/23, 95, 86, 28, 11, 4, 5
2023/3/24, 80, 46, 22, 15, 4, 5
2023/3/25, 67, 59, 38, 13, 4, 6
2023/3/26, 92, 76, 41, 23, 4, 7
2023/3/27, 115, 58, 51, 18, 4, 6
2023/3/28, 114, 52, 35, 19, 4, 6
2023/3/29, 97, 49, 46, 15, 3, 8
2023/3/30, 131, 40, 33, 17, 4, 7
2023/3/31, 100, 46, 44, 27, 5, 4
2022/10/1, 76, 22, 45, 6, 3, 5
2022/10/2, 58, 29, 63, 6, 3, 5
2022/10/3, 66, 23, 25, 5, 3, 4
2022/10/4, 42, 23, 25, 7, 3, 3
2022/10/5, 39, 14, 26, 9, 3, 3
2022/10/6, 36, 18, 26, 9, 2, 4
2022/10/7, 42, 25, 34, 14, 3, 5
2022/10/8, 54, 32, 41, 9, 3, 6
2022/10/9, 82, 41, 32, 11, 3, 5
2022/10/10, 51, 35, 34, 17, 3, 7
2022/10/11, 69, 27, 36, 16, 3, 5
2022/10/12, 48, 27, 42, 15, 3, 6
2022/10/13, 43, 36, 35, 19, 3, 6
2022/10/14, 61, 35, 41, 16, 3, 5
2022/10/15, 82, 40, 38, 15, 3, 4
2022/10/16, 103, 48, 31, 11, 3, 5
2022/10/17, 94, 30, 31, 12, 3, 5
2022/10/18, 43, 29, 36, 17, 3, 5
2022/10/19, 49, 30, 35, 20, 3, 6
2022/10/20, 52, 38, 43, 21, 3, 5
2022/10/21, 62, 40, 44, 17, 3, 5
2022/10/22, 91, 40, 51, 10, 3, 5
2022/10/23, 82, 35, 41, 13, 3, 4
2022/10/24, 55, 29, 32, 15, 3, 4
2022/10/25, 45, 32, 20, 22, 3, 5
2022/10/26, 49, 16, 29, 16, 3, 5
2022/10/27, 37, 30, 35, 11, 3, 5
2022/10/28, 51, 33, 36, 14, 3, 5
2022/10/29, 56, 35, 36, 13, 3, 4
2022/10/30, 67, 28, 32, 12, 3, 4
2022/10/31, 46, 34, 37, 16, 3, 5
2022/11/1, 72, 50, 40, 17, 3, 6
2022/11/2, 110, 37, 38, 20, 3, 6
2022/11/3, 71, 32, 30, 11, 3, 6
2022/11/4, 57, 38, 34, 16, 3, 7
2022/11/5, 76, 34, 41, 21, 3, 4
2022/11/6, 69, 30, 45, 21, 3, 5
2022/11/7, 73, 27, 35, 22, 3, 5
2022/11/8, 61, 34, 43, 18, 3, 5
2022/11/9, 73, 42, 36, 19, 3, 6
2022/11/10, 107, 28, 14, 14, 3, 5
2022/11/11, 81, 23, 37, 12, 3, 5
2022/11/12, 59, 25, 17, 10, 3, 6
2022/11/13, 44, 38, 13, 18, 3, 7
2022/11/14, 73, 51, 23, 23, 5, 11
2022/11/15, 133, 54, 37, 25, 4, 10
2022/11/16, 141, 6, 27, 13, 3, 6
2022/11/17, 13, 29, 23, 16, 3, 5
2022/11/18, 25, 38, 15, 28, 3, 5
2022/11/19, 71, 44, 26, 22, 3, 7
2022/11/20, 116, 46, 30, 30, 3, 7
2022/11/21, 117, 33, 29, 15, 3, 6
2022/11/22, 90, 27, 28, 14, 3, 6
2022/11/23, 47, 42, 26, 25, 3, 6
2022/11/24, 56, 43, 31, 26, 3, 7
2022/11/25, 57, 55, 37, 29, 4, 10
2022/11/26, 118, 31, 30, 18, 3, 5
2022/11/27, 62, 20, 27, 13, 3, 5
2022/11/28, 30, 19, 24, 10, 3, 6
2022/11/29, 38, 24, 20, 9, 3, 7
2022/11/30, 33, 31, 14, 14, 4, 6
2022/12/1, 60, 41, 10, 22, 5, 7
2022/12/2, 76, 33, 18, 24, 3, 6
2022/12/3, 76, 29, 22, 9, 3, 4
2022/12/4, 30, 21, 20, 13, 3, 3
2022/12/5, 30, 31, 24, 23, 3, 5
2022/12/6, 35, 53, 19, 33, 4, 6
2022/12/7, 84, 58, 18, 37, 4, 6
2022/12/8, 97, 48, , 33, 3, 9
2022/12/9, 119, 60, 20, 21, 3, 10
2022/12/10, 148, 38, 26, 11, 3, 5
2022/12/11, 76, 36, 25, 16, 4, 7
2022/12/12, 80, 85, 22, 22, 5, 9
2022/12/13, 133, 80, 22, 19, 4, 8
2022/12/14, 73, 57, 30, 27, 4, 5
2022/12/15, 69, 36, 22, 19, 3, 3
2022/12/16, 40, 40, 20, 9, 3, 5
2022/12/17, 63, 52, 23, 15, 4, 6
2022/12/18, 49, 49, 24, 27, 4, 7
2022/12/19, 70, 43, 30, 30, 4, 6
2022/12/20, 62, 60, 27, 19, 4, 6
2022/12/21, 92, 75, 25, 20, 4, 7
2022/12/22, 96, 31, 24, 14, 4, 6
2022/12/23, 46, 43, 25, 22, 4, 7
2022/12/24, 83, 39, 24, 18, 4, 6
2022/12/25, 84, 46, 21, 26, 4, 6
2022/12/26, 113, 60, 24, 28, 5, 8
2022/12/27, 156, 72, 27, 24, 5, 8
2022/12/28, 166, 39, 22, 20, 3, 5
2022/12/29, 94, 34, 14, 26, 3, 5
2022/12/30, 79, 58, 20, 33, 5, 9
2022/12/31, 137, 72, 9, 42, 4, 8
2023/1/1, 164, 60, 25, 23, 4, 8
2022/7/1, 39, 11, 22, 2, 1, 3
2022/7/2, 30, 13, 27, 3, 1, 4
2022/7/3, 35, 14, 33, 4, 1, 4
2022/7/4, 42, 27, 67, 6, 1, 5
2022/7/5, 68, 23, 57, 4, 1, 5
2022/7/6, 57, 24, 66, 7, 1, 6
2022/7/7, 68, 28, 51, 8, 1, 6
2022/7/8, 82, 25, 87, 7, 1, 5
2022/7/9, 73, 37, 74, 5, 1, 6
2022/7/10, 105, 19, 65, 6, 1, 5
2022/7/11, 52, 39, 104, 8, 1, 6
2022/7/12, 99, 38, 99, 8, 1, 6
2022/7/13, 95, 35, 78, 12, 1, 6
2022/7/14, 84, 36, 70, 8, 1, 7
2022/7/15, 92, 35, 80, 12, , 8
2022/7/16, 100, 38, 74, 6, , 7
2022/7/17, 102, 23, 51, 7, , 8
2022/7/18, 70, 25, 54, 7, , 7
2022/7/19, 76, 24, 60, 8, , 5
2022/7/20, 72, 17, 47, 6, , 4
2022/7/21, 55, 36, 99, 5, , 6
2022/7/22, 101, 34, 55, 5, 1, 5
2022/7/23, 90, 31, 87, 5, 1, 7
2022/7/24, 82, 26, 71, 4, , 6
2022/7/25, 81, 24, 73, 7, , 6
2022/7/26, 68, 28, 98, 7, , 5
2022/7/27, 77, 24, 80, 6, , 5
2022/7/28, 68, 12, 20, 3, 3, 4
2022/7/29, 38, 15, 23, 6, , 5
2022/7/30, 48, 21, 50, 5, , 6
2022/7/31, 64, 24, 71, 6, , 6
2022/8/1, 69, 31, 63, 4, , 6
2022/8/2, 89, 15, 46, 3, , 5
2022/8/3, 54, 15, 48, 4, 1, 4
2022/8/4, 48, 27, 89, 6, 1, 5
2022/8/5, 63, 35, 54, 10, 2, 6
2022/8/6, 76, 19, 69, 6, 2, 6
2022/8/7, 54, 15, 48, 4, 2, 4
2022/8/8, 38, 18, 72, 5, 2, 4
2022/8/9, 44, 25, 93, 6, 2, 4
2022/8/10, 56, 35, 94, 8, 2, 5
2022/8/11, 76, 37, 84, 11, 2, 6
2022/8/12, 81, 41, 90, 9, 2, 6
2022/8/13, 98, 32, 92, 8, 2, 4
2022/8/14, 77, 27, 93, 6, 2, 5
2022/8/15, 46, 32, 81, 9, 2, 5
2022/8/16, 69, 21, 104, 9, 2, 6
2022/8/17, 62, 27, 78, 8, 2, 5
2022/8/18, 68, 22, 89, 6, 2, 4
2022/8/19, 56, 33, 52, 10, , 6
2022/8/20, 73, 31, 62, 9, 2, 7
2022/8/21, 77, 33, 85, 7, 2, 6
2022/8/22, 81, 31, 96, 10, , 7
2022/8/23, 79, 28, 33, 7, 2, 5
2022/8/24, 55, 25, 50, 7, 2, 4
2022/8/25, 48, 33, 34, 10, 2, 5
2022/8/26, 56, 23, 41, 11, 2, 5
2022/8/27, 62, 23, 43, 6, 3, 5
2022/8/28, 43, 26, 74, 7, 2, 5
2022/8/29, 56, 40, 57, 9, 2, 8
2022/8/30, 89, 18, 38, 8, 2, 5
2022/8/31, 55, 24, 58, 8, 2, 6
2022/9/1, 57, 22, 40, 8, 2, 6
2022/9/2, 48, 10, 28, 7, 2, 6
2022/9/3, 33, 12, 22, 5, 2, 7
2022/9/4, 28, 8, 42, 7, 2, 4
2022/9/5, 24, 45, 97, 11, 3, 7
2022/9/6, 102, 50, 109, 12, 3, 8
2022/9/7, 116, 40, 76, 19, 3, 7
2022/9/8, 72, 26, 50, 14, 3, 4
2022/9/9, 53, 25, 73, 11, 2, 4
2022/9/10, 61, 30, 46, 10, 2, 5
2022/9/11, 53, 28, 31, 12, 3, 6
2022/9/12, 66, 12, 25, 10, 2, 4
2022/9/13, 38, 8, 20, 8, , 4
2022/9/14, 29, 10, 28, 7, 2, 5
2022/9/15, 34, 35, 49, 13, 3, 6
2022/9/16, 84, 46, 75, 18, 3, 9
2022/9/17, 116, 32, 57, 8, 3, 7
2022/9/18, 78, 48, 49, 8, 3, 7
2022/9/19, 85, 36, 38, 11, 2, 6
2022/9/20, 50, 30, 30, 14, 3, 6
2022/9/21, 40, 33, 52, 17, 3, 8
2022/9/22, 57, 47, 60, 15, 3, 6
2022/9/23, 66, 28, 37, 10, 3, 4
2022/9/24, 43, 29, 43, 11, 3, 4
2022/9/25, 42, 36, 40, 14, 3, 5
2022/9/26, 65, 23, 41, 11, 3, 5
2022/9/27, 49, 25, 26, 19, 3, 6
2022/9/28, 60, 30, 47, 20, 3, 7
2022/9/29, 74, 20, 30, 14, 3, 8
2022/9/30, 49, 27, 46, 9, 3, 8
2022/4/1, 69, 26, 52, 6, 2, 6
2022/4/2, 71, 18, 44, 7, 2, 5
2022/4/3, 58, 24, 46, 7, 2, 5
2022/4/4, 67, 31, 41, 11, 3, 6
2022/4/5, 70, 44, 73, 12, 3, 7
2022/4/6, 99, 50, 87, 12, 3, 7
2022/4/7, 102, 41, 75, 13, 3, 6
2022/4/8, 81, 43, 78, 10, 3, 6
2022/4/9, 80, 40, 59, 7, 2, 6
2022/4/10, 81, 46, 88, 10, 3, 7
2022/4/11, 103, 30, 77, 12, 3, 7
2022/4/12, 82, 21, 37, 9, 2, 10
2022/4/13, 63, 16, 28, 6, 1, 7
2022/4/14, 47, 20, 57, 5, 2, 7
2022/4/15, 52, 43, 52, 7, 2, 8
2022/4/16, 100, 31, 55, 8, 3, 6
2022/4/17, 76, 33, 67, 8, 2, 7
2022/4/18, 72, 54, 81, 12, 3, 8
2022/4/19, 117, 60, 90, 12, 3, 8
2022/4/20, 125, 51, 76, 8, 2, 9
2022/4/21, 131, 44, 66, 11, 3, 9
2022/4/22, 111, 17, 35, 6, 3, 8
2022/4/23, 55, 8, 39, 5, 3, 7
2022/4/24, 28, 20, 38, 7, 2, 7
2022/4/25, 64, 20, 25, 8, 2, 8
2022/4/26, 67, 45, 45, 7, 2, 5
2022/4/27, 57, 66, 35, 7, , 5
2022/4/28, 76, 17, 42, 6, 2, 6
2022/4/29, 41, 26, 48, 7, 2, 6
2022/4/30, 69, 33, 59, 6, 2, 7
2022/5/1, 87, 46, 65, 10, 2, 7
2022/5/2, 112, 52, 95, 12, 3, 7
2022/5/3, 123, 47, 75, 10, 3, 7
2022/5/4, 114, 27, 61, 8, 2, 6
2022/5/5, 64, 20, 63, 7, 2, 6
2022/5/6, 60, 15, 44, 5, 2, 6
2022/5/7, 49, 21, 45, 6, 4, 6
2022/5/8, 52, 20, 44, 8, 3, 5
2022/5/9, 41, 25, 41, 6, 2, 6
2022/5/10, 53, 22, 38, 6, 2, 6
2022/5/11, 58, 19, 35, 7, , 6
2022/5/12, 56, 17, 39, 6, 2, 7
2022/5/13, 49, 28, 56, 8, 2, 7
2022/5/14, 66, 27, 57, 10, 3, 7
2022/5/15, 69, 39, 72, 11, 3, 7
2022/5/16, 83, 49, 89, 11, 3, 7
2022/5/17, 112, 30, 77, 9, 3, 6
2022/5/18, 73, 31, 60, 8, 3, 6
2022/5/19, 73, 26, 27, 10, 3, 7
2022/5/20, 75, 18, 49, 7, 2, 7
2022/5/21, 60, 24, 56, 6, 2, 7
2022/5/22, 67, 17, 48, 6, 2, 7
2022/5/23, 49, 13, 42, 7, 2, 7
2022/5/24, 42, 19, 51, 7, 2, 7
2022/5/25, 62, 26, 40, 11, 3, 8
2022/5/26, 79, 45, 98, 11, 3, 8
2022/5/27, 122, 19, 50, 8, 2, 8
2022/5/28, 62, 17, 29, 9, 2, 9
2022/5/29, 59, 38, 58, 11, 2, 11
2022/5/30, 104, 17, 54, 10, 2, 7
2022/5/31, 35, 34, 52, 9, 2, 10
2022/6/1, 99, 39, 53, 9, 2, 9
2022/6/2, 113, 12, 38, 4, 1, 6
2022/6/3, 48, 21, 49, 5, 1, 4
2022/6/4, 69, 18, 22, 7, 1, 5
2022/6/5, 54, 33, 84, 6, 1, 6
2022/6/6, 87, 37, 55, 7, 1, 5
2022/6/7, 93, 22, 50, 11, 1, 4
2022/6/8, 63, 28, 67, 5, 1, 5
2022/6/9, 80, 14, 37, 8, 1, 4
2022/6/10, 48, 20, 44, 8, 1, 3
2022/6/11, 64, 26, 35, 9, 1, 4
2022/6/12, 76, 13, 28, 14, 1, 4
2022/6/13, 44, 41, 89, 12, 1, 5
2022/6/14, 119, 52, 99, 12, 2, 6
2022/6/15, 135, 52, 83, 13, 2, 6
2022/6/16, 131, 43, 97, 12, 1, 6
2022/6/17, 114, 28, 69, 9, 1, 5
2022/6/18, 80, 37, 84, 11, 1, 6
2022/6/19, 96, 13, 43, 10, 1, 5
2022/6/20, 43, 19, 62, 9, 2, 5
2022/6/21, 63, 32, 52, 11, 2, 6
2022/6/22, 86, 24, 49, 9, 1, 5
2022/6/23, 58, 15, 31, 10, 1, 6
2022/6/24, 47, 26, 68, 8, 1, 4
2022/6/25, 80, 24, 54, 6, 1, 4
2022/6/26, 64, 18, 44, 4, 1, 4
2022/6/27, 43, 20, 43, 6, 1, 4
2022/6/28, 51, 19, 72, 7, 1, 5
2022/6/29, 55, 15, 48, 6, 1, 4
2022/6/30, 35, 14, 27, 3, 1, 4
2022/1/3, 159, 54, 37, 31, 1, 9
2022/1/4, 139, 20, 33, 17, , 7
2022/1/5, 59, 20, 25, 14, 1, 6
2022/1/6, 49, 40, 24, 25, 2, 5
2022/1/7, 102, 39, 18, 31, 2, 5
2022/1/8, 104, 61, 24, 28, 3, 7
2022/1/9, 156, 97, 12, 39, 3, 12
2022/1/10, 193, 57, 23, 18, 2, 7
2022/1/11, 132, 47, 13, 32, 3, 7
2022/1/12, 131, 51, , 30, 2, 8
2022/1/13, 154, 31, , 22, 3, 5
2022/1/14, 88, 56, 13, 27, 2, 7
2022/1/15, 161, 74, 33, 29, 3, 10
2022/1/16, 160, 36, 22, 27, 3, 5
2022/1/17, 72, 45, 32, 27, 2, 5
2022/1/18, 119, 53, 27, 38, 2, 6
2022/1/19, 132, 41, 29, 16, 2, 6
2022/1/20, 112, 21, 27, 14, 2, 4
2022/1/21, 59, 24, 14, 25, 2, 5
2022/1/22, 74, 17, 26, 19, 2, 6
2022/1/23, 58, 49, 28, 11, 2, 10
2022/1/24, 135, 72, 21, 19, 2, 10
2022/1/25, 168, 51, 29, 18, 2, 9
2022/1/26, 135, 35, 29, 12, 2, 9
2022/1/27, 102, 25, 24, 9, 2, 6
2022/1/28, 67, 30, 26, 8, 2, 4
2022/1/29, 83, 37, 28, 8, 2, 5
2022/1/30, 101, 66, 41, 13, 3, 8
2022/1/31, 161, 82, 34, 8, 3, 7
2022/2/1, 159, 33, 30, 6, 2, 6
2022/2/2, 80, 19, 32, 6, 2, 5
2022/2/3, 59, 30, 35, 8, 2, 5
2022/2/4, 85, 52, 34, 8, 3, 7
2022/2/5, 130, 24, 29, 7, 2, 5
2022/2/6, 62, 11, 29, 8, 2, 5
2022/2/7, 32, 13, 25, 10, 2, 5
2022/2/8, 46, 22, 19, 18, 2, 6
2022/2/9, 65, 33, 29, 14, 2, 6
2022/2/10, 91, 40, 37, 16, 1, 5
2022/2/11, 114, 50, 30, 19, 1, 6
2022/2/12, 120, 54, 33, 16, 1, 7
2022/2/13, 129, 53, 35, 18, 1, 7
2022/2/14, 130, 63, 25, 13, 1, 8
2022/2/15, 130, 43, 29, 14, 1, 6
2022/2/16, 98, 26, 32, 7, 1, 4
2022/2/17, 64, 22, 27, 13, 2, 4
2022/2/18, 54, 30, 29, 8, 1, 4
2022/2/19, 76, 35, 30, 10, 2, 4
2022/2/20, 65, 36, 27, 20, 2, 5
2022/2/21, 82, 61, 36, 28, 4, 6
2022/2/22, 137, 44, 33, 10, 1, 6
2022/2/23, 101, 33, 27, 17, 2, 6
2022/2/24, 74, 29, 36, 23, 2, 5
2022/2/25, 70, 46, 45, 17, 2, 6
2022/2/26, 113, 68, 45, 14, 2, 7
2022/2/27, 121, 61, 67, 14, 2, 7
2022/2/28, 132, 77, 47, 13, 2, 9
2022/3/1, 167, 79, 50, 13, 2, 8
2022/3/2, 161, 71, 54, 20, 2, 8
2022/3/3, 142, 43, 38, 16, 2, 6
2022/3/4, 108, 92, 31, 17, 2, 5
2022/3/5, 107, 42, 31, 12, 3, 3
2022/3/6, 36, 40, 32, 15, 2, 4
2022/3/7, 71, 55, 38, 23, 2, 5
2022/3/8, 105, 57, 51, 16, 2, 5
2022/3/9, 105, 60, 47, 14, 2, 5
2022/3/10, 91, 58, 55, 23, 3, 6
2022/3/11, 96, 41, 46, 18, 2, 5
2022/3/12, 81, 46, 55, 15, 3, 5
2022/3/13, 88, 63, 47, 22, 3, 7
2022/3/14, 130, 54, 47, 16, 2, 7
2022/3/15, 92, 47, 74, 20, 3, 7
2022/3/16, 95, 11, 26, 11, 1, 5
2022/3/17, 44, 24, 25, 13, 1, 7
2022/3/18, 69, 54, 27, 17, 1, 8
2022/3/19, 137, 22, 26, 14, 2, 5
2022/3/20, 60, 8, 33, 10, 1, 5
2022/3/21, 28, 22, 34, 11, 1, 6
2022/3/22, 48, 35, 41, 13, 2, 6
2022/3/23, 83, 28, 48, 16, 2, 5
2022/3/24, 61, 15, 31, 11, 2, 7
2022/3/25, 48, 33, 41, 10, 2, 8
2022/3/26, 88, 58, 41, 16, 4, 8
2022/3/27, 101, 36, 36, 9, 2, 5
2022/3/28, 52, 36, 47, 11, 2, 4
2022/3/29, 61, 39, 56, 11, 2, 7
2022/3/30, 86, 41, 36, 9, 2, 8
2022/3/31, 90, 26, 44, 6, 2, 6
2021/10/1, 58, 30, 89, 11, 2, 4
2021/10/2, 71, 31, 57, 6, 2, 3
2021/10/3, 54, 29, 47, 5, 2, 3
2021/10/4, 51, 35, 51, 7, 2, 3
2021/10/5, 53, 30, 34, 8, 2, 3
2021/10/6, 48, 16, 25, 8, 3, 3
2021/10/7, 36, 30, 34, 9, 3, 3
2021/10/8, 47, 24, 30, 9, 2, 3
2021/10/9, 45, 26, 27, 9, 2, 4
2021/10/10, 48, 16, 26, 7, 2, 5
2021/10/11, 22, 31, 31, 7, 2, 5
2021/10/12, 29, 13, 20, 11, 2, 5
2021/10/13, 34, 23, 18, 12, 2, 4
2021/10/14, 43, 23, 28, 12, 2, 5
2021/10/15, 60, 15, 30, 6, , 2
2021/10/16, 26, 26, 23, 7, 2, 2
2021/10/17, 24, 29, 18, 18, 2, 3
2021/10/18, 36, 47, 31, 23, 2, 5
2021/10/19, 93, 19, 26, 14, 2, 3
2021/10/20, 40, 30, 20, 18, 2, 6
2021/10/21, 79, 62, 38, 21, 3, 6
2021/10/22, 154, 38, 39, 26, 3, 4
2021/10/23, 86, 26, 39, 21, 2, 3
2021/10/24, 45, 34, 35, 25, 2, 4
2021/10/25, 65, 34, 38, 30, 2, 4
2021/10/26, 75, 47, 50, 29, 3, 6
2021/10/27, 106, 38, 34, 21, 2, 4
2021/10/28, 75, 42, 35, 22, 2, 4
2021/10/29, 64, 41, 54, 23, 2, 4
2021/10/30, 77, 34, 35, 21, 2, 4
2021/10/31, 63, 50, 52, 23, 2, 5
2021/11/1, 108, 50, 39, 17, 2, 4
2021/11/2, 113, 44, 42, 21, 2, 3
2021/11/3, 78, 42, 43, 23, 2, 3
2021/11/4, 84, 15, 34, 13, 2, 4
2021/11/5, 52, 19, 31, 11, 2, 3
2021/11/6, 36, 20, 30, 11, 2, 4
2021/11/7, 39, 26, 25, 8, 2, 4
2021/11/8, 55, 36, 29, 14, 3, 4
2021/11/9, 71, 42, 30, 19, 4, 4
2021/11/10, 78, 48, 28, 25, 4, 6
2021/11/11, 91, 43, 23, 31, 4, 7
2021/11/12, 92, 60, 31, 35, 5, 7
2021/11/13, 135, 58, 38, 32, 3, 5
2021/11/14, 128, 63, 58, 35, 4, 4
2021/11/15, 143, 54, 52, 36, 3, 2
2021/11/16, 112, 54, 35, 34, 3, 4
2021/11/17, 121, 25, 31, 19, 2, 2
2021/11/18, 66, 38, 35, 28, 2, 2
2021/11/19, 79, 43, 44, 26, 2, 2
2021/11/20, 82, 41, 24, 22, 2, 4
2021/11/21, 100, 63, 20, 13, 2, 4
2021/11/22, 100, 61, 16, 20, 3, 4
2021/11/23, 80, 60, 20, 32, 4, 6
2021/11/24, 108, 57, 25, 34, 4, 6
2021/11/25, 109, 74, 26, 41, 4, 11
2021/11/26, 156, 47, 35, 27, 3, 5
2021/11/27, 89, 28, 27, 21, 3, 3
2021/11/28, 40, 24, 19, 22, 2, 3
2021/11/29, 49, 46, 24, 14, 2, 4
2021/11/30, 110, 35, 19, 16, 3, 5
2021/12/1, 69, 37, 20, 26, 4, 5
2021/12/2, 86, 59, 22, 31, 5, 6
2021/12/3, 121, 64, 19, 37, 4, 8
2021/12/4, 144, 32, 33, 28, 2, 4
2021/12/5, 66, 38, 38, 32, 3, 5
